,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,season,division,PA,1B,OBP,BA,SLG,OPS,ISO,HR/PA,K/PA,BB/PA,K/BB,BABIP,wOBA,wRAA,wRC,team
3,2,34,9,2,0,11,0,1,0,1,0,0,8,3,0,0,0,0,3,02/21/2023,away,16340,317,James Madison,9,True,2,10,-8,loss,2391140,248,2023,1,35,7,0.286,0.265,0.324,0.61,0.059,0.0,0.229,0.0,0.0,0.346,0.287,-2.859,2.636,248
0,5,35,10,1,0,11,0,5,5,0,2,1,10,0,0,0,0,0,0,02/18/2023,away,16340,196,East Carolina,9,True,5,9,-4,loss,2390411,249,2023,1,43,9,0.349,0.286,0.314,0.663,0.028,0.0,0.233,0.116,2.0,0.37,0.32,-2.063,4.688,249
1,3,33,9,0,0,12,1,3,3,0,1,0,13,1,0,1,0,0,1,02/18/2023,away,16340,196,East Carolina,9,True,3,11,-8,loss,2390731,249,2023,1,37,8,0.324,0.273,0.364,0.688,0.091,0.027,0.351,0.081,4.333,0.4,0.323,-1.662,4.147,249
2,5,35,9,1,0,16,2,5,3,1,0,0,6,1,1,0,0,0,1,02/19/2023,away,16340,196,East Carolina,9,True,5,23,-18,loss,2390984,249,2023,1,39,6,0.333,0.257,0.457,0.79,0.2,0.051,0.154,0.077,2.0,0.259,0.362,-0.199,5.924,249
3,11,33,11,4,0,21,2,10,10,3,1,0,8,0,0,0,6,0,0,02/22/2023,home,16340,393,UMES,9,True,11,9,2,win,2391211,249,2023,1,47,5,0.511,0.333,0.636,1.147,0.303,0.043,0.17,0.213,0.8,0.375,0.515,7.102,14.481,249
0,4,32,10,0,1,15,1,4,2,0,1,1,4,1,0,0,0,0,1,02/17/2023,neutral,16340,1320,Presbyterian,9,True,4,3,1,win,2390397,251,2023,1,36,8,0.333,0.312,0.469,0.802,0.157,0.028,0.111,0.056,2.0,0.321,0.355,-0.441,5.211,251
1,2,32,5,1,0,12,2,2,1,1,0,0,5,0,0,0,0,0,0,02/18/2023,home,16340,1320,Presbyterian,9,True,2,5,-3,loss,2390771,251,2023,1,34,2,0.206,0.156,0.375,0.581,0.219,0.059,0.147,0.029,5.0,0.12,0.257,-3.818,1.52,251
2,5,31,7,0,1,12,1,5,1,1,0,0,9,0,0,0,0,0,0,02/19/2023,home,16340,1320,Presbyterian,9,True,5,3,2,win,2391036,251,2023,1,33,5,0.273,0.226,0.387,0.66,0.161,0.03,0.273,0.03,9.0,0.286,0.302,-2.19,2.991,251
3,18,39,18,5,0,29,2,17,7,3,4,0,4,1,0,1,1,0,1,02/21/2023,away,16340,726,Navy,9,True,18,10,8,win,2391144,251,2023,1,53,11,0.528,0.462,0.744,1.272,0.282,0.038,0.075,0.132,0.571,0.432,0.544,9.577,17.898,251
0,5,36,9,5,0,20,2,4,2,1,0,0,6,0,0,0,0,0,0,02/17/2023,home,16340,315,Jacksonville St.,9,True,5,8,-3,loss,2390381,257,2023,1,39,2,0.308,0.25,0.556,0.864,0.306,0.051,0.154,0.051,3.0,0.25,0.378,0.438,6.561,257
1,10,31,9,3,0,15,1,7,8,4,0,1,5,2,0,0,1,0,2,02/18/2023,home,16340,315,Jacksonville St.,9,True,10,3,7,win,2390745,257,2023,1,44,5,0.477,0.29,0.484,0.961,0.194,0.023,0.114,0.182,0.625,0.32,0.458,4.088,10.996,257
2,10,36,13,3,0,19,1,8,5,1,1,0,7,0,0,0,1,0,0,02/19/2023,home,16340,315,Jacksonville St.,9,True,10,5,5,win,2391003,257,2023,1,43,9,0.442,0.361,0.528,0.97,0.167,0.023,0.163,0.116,1.4,0.414,0.446,3.468,10.219,257
0,4,27,4,0,0,4,0,3,6,1,0,2,10,1,0,0,1,0,1,02/17/2023,home,16340,768,West Virginia,9,True,4,3,1,win,2390474,253,2023,1,36,4,0.306,0.148,0.148,0.454,0.0,0.0,0.278,0.167,1.667,0.235,0.259,-3.969,1.683,253
1,6,28,6,1,0,7,0,4,7,1,1,1,3,1,1,0,2,0,0,02/18/2023,home,16340,768,West Virginia,9,True,6,2,4,win,2390727,253,2023,1,38,5,0.368,0.214,0.25,0.618,0.036,0.0,0.079,0.184,0.429,0.231,0.325,-1.629,4.337,253
2,4,30,5,1,0,9,1,4,6,2,0,1,9,1,0,0,0,0,1,02/19/2023,home,16340,768,West Virginia,9,True,4,13,-9,loss,2390975,253,2023,1,39,3,0.333,0.167,0.3,0.633,0.133,0.026,0.231,0.154,1.5,0.2,0.319,-1.911,4.212,253
3,6,33,9,2,0,11,0,5,9,2,0,2,13,2,0,0,0,1,2,02/21/2023,home,16340,255,Georgia Tech,9,True,6,8,-2,loss,2391184,253,2023,1,45,7,0.467,0.273,0.333,0.8,0.06,0.0,0.289,0.2,1.444,0.45,0.399,1.47,8.535,253
0,12,37,14,2,0,28,4,12,6,3,0,0,10,0,1,0,1,0,0,02/17/2023,home,16340,140,Cincinnati,9,True,12,2,10,win,2390375,254,2023,1,46,8,0.5,0.378,0.757,1.257,0.379,0.087,0.217,0.13,1.667,0.435,0.549,8.547,15.769,254
1,4,26,7,2,2,13,0,3,6,2,1,0,9,0,0,0,1,0,0,02/18/2023,home,16340,140,Cincinnati,9,True,4,9,-5,loss,2390699,254,2023,1,35,3,0.429,0.269,0.5,0.929,0.231,0.0,0.257,0.171,1.5,0.389,0.43,2.251,7.746,254
2,3,22,4,1,0,11,2,3,9,0,0,0,8,2,0,0,2,0,2,02/18/2023,home,16340,140,Cincinnati,9,True,3,2,1,win,2408010,254,2023,1,31,1,0.419,0.182,0.5,0.919,0.318,0.065,0.258,0.29,0.889,0.167,0.428,1.931,6.798,254
3,4,34,8,0,0,14,2,4,5,1,0,1,10,0,1,1,0,1,0,02/19/2023,home,16340,140,Cincinnati,9,True,4,6,-2,loss,2390922,254,2023,1,40,6,0.375,0.235,0.412,0.787,0.177,0.05,0.25,0.125,2.0,0.273,0.36,-0.286,5.994,254
0,15,37,11,1,4,20,0,11,10,1,0,0,3,0,0,0,0,0,0,02/17/2023,home,16340,414,Miami (OH),9,True,15,12,3,win,2390272,255,2023,1,48,6,0.458,0.297,0.541,0.999,0.244,0.0,0.062,0.208,0.3,0.324,0.463,4.704,12.24,255
1,5,30,6,3,0,15,2,5,4,1,0,0,9,0,0,0,1,0,0,02/18/2023,home,16340,414,Miami (OH),9,True,5,4,1,win,2390515,255,2023,1,35,1,0.314,0.2,0.5,0.814,0.3,0.057,0.257,0.114,2.25,0.211,0.365,-0.071,5.424,255
2,16,37,15,4,0,28,3,16,5,8,1,1,14,0,0,0,1,0,0,02/19/2023,home,16340,414,Miami (OH),9,True,16,8,8,win,2390832,255,2023,1,52,8,0.538,0.405,0.757,1.295,0.352,0.058,0.269,0.096,2.8,0.571,0.56,10.246,18.41,255
3,8,34,9,0,0,15,2,8,7,1,1,0,12,1,0,0,0,0,1,02/21/2023,away,16340,253,Ga. Southern,9,True,8,6,2,win,2391184,255,2023,1,43,7,0.395,0.265,0.441,0.836,0.176,0.047,0.279,0.163,1.714,0.333,0.393,1.141,7.892,255
0,4,34,6,0,1,11,1,3,3,0,0,0,7,2,0,0,1,0,2,02/17/2023,away,16340,700,Texas Tech,9,True,4,8,-4,loss,2390352,260,2023,1,37,4,0.243,0.176,0.324,0.567,0.148,0.027,0.189,0.081,2.333,0.192,0.264,-3.891,1.918,260
